Sample,Top10,Top20,Top30,Bottom10,Bottom20,Bottom30
CoPt_E_rep1,0,0,0,0,0,0
CoPt_E_rep2,0,0,0,0,0,0
CoPt_E_rep3,0,0,0,0,0,0
CoPt_E_rep4,0,0,0,0,1,1
Falu_E_rep1,0,0,0,0,0,0
Falu_E_rep3,0,0,0,1,1,1
Falu_E_rep4,0,0,0,1,1,1
Falu_E_rep6,0,0,0,0,0,0
Ftele_E_rep3,0,0,0,0,0,0
Ftele_E_rep5,1,1,1,0,0,0
Ftele_E_rep6,0,0,0,0,0,0
Can_E_rep2,0,0,1,0,0,0
Can_E_rep3,0,0,0,0,0,1
Can_E_rep4,0,0,0,0,0,1
Can_E_rep6,0,0,0,0,0,0
Vat_E_rep1,0,1,1,0,0,0
Vat_E_rep3,0,0,0,0,0,1
Vat_E_rep4,0,1,1,0,0,0
Vat_E_rep6,1,1,1,0,0,0