Sample,low_pollution_heat,med_pollution_heat,high_pollution_heat,symbiont_CD_heat,symbiont_Donly_heat,red_t35normto28,most_thermotol_cc_change,least_thermotol_cc_change,most_thermotol_red_change,least_thermotol_red_change
Can_H_rep2,0,0,1,0,1,34.9,1,0,0,0
Can_H_rep3,0,0,1,0,1,125.3,0,0,0,1
Can_H_rep5,0,0,1,0,1,16.2,0,0,0,0
Can_H_rep6,0,0,1,0,1,35.8,0,0,1,0
CoPt_H_rep1,0,0,1,0,1,60.85,0,0,0,0
CoPt_H_rep2,0,0,1,0,1,52.4,0,1,0,0
CoPt_H_rep3,0,0,1,0,1,40.85,0,0,0,0
CoPt_H_rep4,0,0,1,0,1,65.15,0,1,0,0
Falu_H_rep1,0,1,0,0,1,66.1,0,0,1,0
Falu_H_rep4,0,1,0,0,1,40.3,0,1,0,0
Falu_H_rep6,0,1,0,0,1,38.75,0,0,1,0
Ftele_H_rep1,1,0,0,1,0,86.55,0,1,0,1
Ftele_H_rep3,1,0,0,1,0,51.1,0,0,0,0
Ftele_H_rep5,1,0,0,1,0,10.9,1,0,1,0
Ftele_H_rep6,1,0,0,1,0,67.85,0,0,0,1
Vat_H_rep1,1,0,0,0,1,33.3,1,0,0,1
Vat_H_rep3,1,0,0,0,1,22.1,0,0,1,0
Vat_H_rep4,1,0,0,0,1,-11.1,0,0,1,0
Vat_H_rep6,1,0,0,1,0,-1.8,1,0,1,0