,Site,LBSP,pop2016,Colony,Site_Col,CWC3.Thresh_040,ARed.Thresh_040,FvFm.Thresh_040,CWC3.X0,ARed.X0,Phenotype.X0.PC1,Phenotype.X0.mn
1,Faga'tele,Low,0,1,Faga'tele_1,31.80034751,30.60368131,30.76675577,33.35405756,31.74994232,-2.254193628,32.55199994
2,Coconut Point,High,6707,1,Coconut Point_1,33.00472843,32.8541219,36.5,34.04129386,34.18155837,0.040280757,34.11142611
3,Vatia,Low,640,1,Vatia_1,34.23619766,34.56580786,36.5,34.93924532,36.5,2.385736391,35.71962266
4,Cannery,High,9276,1,Cannery_1,32.86434668,32.93358233,36.5,33.74251559,33.63658298,-0.568058853,33.68954928
5,Faga'alu,Medium,910,1,Faga'alu_1,33.50944266,34.34816302,36.5,33.89750897,34.09826517,-0.11648185,33.99788707
11,Faga'alu,Medium,910,2,Faga'alu_2,31.44083754,32.86165288,33.01933813,33.12674057,34.10126428,-0.615256273,33.61400243
12,Vatia,Low,640,2,Vatia_2,32.11609891,33.34030167,36.5,32.86343626,35.37248251,0.179543661,34.11795939
13,Faga'tele,Low,0,2,Faga'tele_2,31.17764754,30.9852314,32.46993987,32.43242417,32.48394891,-2.295567001,32.45818654
14,Cannery,High,9276,2,Cannery_2,34.34662317,32.64666686,36.5,36.5,32.92629202,0.68476701,34.71314601
21,Coconut Point,High,6707,3,Coconut Point_3,31.89067415,36.5,36.5,33.4572165,35.18404703,0.422355057,34.32063177
22,Vatia,Low,640,3,Vatia_3,32.27774403,31.8471818,36.5,33.09516098,33.52688057,-1.072244674,33.31102078
23,Faga'alu,Medium,910,3,Faga'alu_3,30.43247401,31.61058386,36.5,31.18592271,32.56159258,-3.046880713,31.87375764
24,Faga'tele,Low,0,3,Faga'tele_3,31.95400034,34.24533707,36.5,33.5829471,35.08732032,0.430588596,34.33513371
25,Cannery,High,9276,3,Cannery_3,32.3388521,31.60864018,36.5,33.74873868,33.19377474,-0.900492039,33.47125671
31,Vatia,Low,640,4,Vatia_4,33.1558777,36.5,36.5,34.45234271,36.5,2.069215636,35.47617135
32,Faga'alu,Medium,910,4,Faga'alu_4,31.22583771,32.39638822,34.79404569,31.74160249,33.72917199,-1.798436311,32.73538724
33,Coconut Point,High,6707,4,Coconut Point_4,31.31170514,31.98517622,36.5,33.0456113,33.25632259,-1.310045506,33.15096695
34,Faga'tele,Low,0,4,Faga'tele_4,33.60924219,32.10545132,36.5,34.30524547,33.15101358,-0.571216805,33.72812953
35,Cannery,High,9276,4,Cannery_4,31.69901013,32.22682458,31.03434108,33.10315021,33.33321094,-1.214215713,33.21818057
41,Coconut Point,High,6707,5,Coconut Point_5,32.24335474,34.69194616,36.5,33.469068,34.87690132,0.196667208,34.17298466
42,Cannery,High,9276,5,Cannery_5,33.31956216,33.60384702,36.5,34.49777996,34.66479781,0.70422992,34.58128889
43,Faga'alu,Medium,910,5,Faga'alu_5,31.70325178,34.20189708,36.5,33.58421017,34.2651532,-0.193334043,33.92468169
44,Vatia,Low,640,5,Vatia_5,31.77319235,31.3755506,36.5,32.40859449,32.03836293,-2.649647328,32.22347871
45,Faga'tele,Low,0,5,Faga'tele_5,36.5,36.5,36.5,36.5,36.5,3.400336111,36.5
51,Faga'tele,Low,0,6,Faga'tele_6,32.64866696,32.37412969,36.5,33.82285435,33.50471101,-0.616039168,33.66378268
52,Cannery,High,9276,6,Cannery_6,33.13359732,34.66430164,36.5,33.95382024,35.12673684,0.701633684,34.54027854
53,Faga'alu,Medium,910,6,Faga'alu_6,32.95450409,33.87473496,36.5,33.47349522,35.00555779,0.297307958,34.2395265
54,Vatia,Low,640,6,Vatia_6,36.5,36.5,31.88836173,36.5,36.5,3.400336111,36.5
55,Coconut Point,High,6707,6,Coconut Point_6,31.41169797,30.61990799,35.30506086,33.33917529,31.36222955,-2.558481138,32.35070242
61,Vatia,Low,640,7,Vatia_7,36.5,33.52152353,32.6765348,36.5,33.97078895,1.478453458,35.23539448
62,Coconut Point,High,6707,7,Coconut Point_7,32.22565259,36.5,32.06798411,33.04960621,36.5,1.15733879,34.7748031
63,Faga'alu,Medium,910,7,Faga'alu_7,30.52181277,32.27406762,32.55915363,31.64978486,33.42668937,-2.087972983,32.53823712
64,Faga'tele,Low,0,7,Faga'tele_7,31.25975861,30.8372922,32.5359891,33.2780765,33.03441503,-1.327548739,33.15624576
65,Cannery,High,9276,7,Cannery_7,32.12330634,33.46528088,36.5,33.94015857,34.22598046,0.00829095,34.08306951
71,Vatia,Low,640,8,Vatia_8,34.83706891,36.5,36.5,35.4216294,36.5,2.699319792,35.9608147
72,Faga'alu,Medium,910,8,Faga'alu_8,34.9894364,36.5,36.5,34.78687268,36.5,2.286683517,35.64343634
73,Faga'tele,Low,0,8,Faga'tele_8,34.17624527,32.85194735,33.81006176,34.74563235,35.24257576,1.304389967,34.99410406
74,Coconut Point,High,6707,8,Coconut Point_8,34.34373989,32.98201643,30.13886569,36.5,34.38184402,1.79080367,35.44092201
75,Cannery,High,9276,8,Cannery_8,34.44825109,31.42340789,36.5,34.49002944,33.16276398,-0.442165475,33.82639671