Sample,low_pollution,med_pollution,high_pollution,Top10.Phenotype.X0,Top20.Phenotype.X0,Top30.Phenotype.X0,Bottom10.Phenotype.X0,Bottom20.Phenotype.X0,Bottom30.Phenotype.X0
CoPt_E_rep1,0,0,1,0,0,0,0,0,0
CoPt_E_rep2,0,0,1,0,0,0,0,0,0
CoPt_E_rep3,0,0,1,0,0,0,0,0,0
CoPt_E_rep4,0,0,1,0,0,0,0,1,1
Falu_E_rep1,0,1,0,0,0,0,0,0,0
Falu_E_rep3,0,1,0,0,0,0,1,1,1
Falu_E_rep4,0,1,0,0,0,0,1,1,1
Falu_E_rep6,0,1,0,0,0,0,0,0,0
Ftele_E_rep3,1,0,0,0,0,0,0,0,0
Ftele_E_rep5,1,0,0,1,1,1,0,0,0
Ftele_E_rep6,1,0,0,0,0,0,0,0,0
Can_E_rep2,0,0,1,0,0,1,0,0,0
Can_E_rep3,0,0,1,0,0,0,0,0,1
Can_E_rep4,0,0,1,0,0,0,0,0,1
Can_E_rep6,0,0,1,0,0,0,0,0,0
Vat_E_rep1,1,0,0,0,1,1,0,0,0
Vat_E_rep3,1,0,0,0,0,0,0,0,1
Vat_E_rep4,1,0,0,0,1,1,0,0,0
Vat_E_rep6,1,0,0,1,1,1,0,0,0