Sample,low_pollution,med_pollution,high_pollution,symbiont_CD,symbiont_Donly,DIN_km2,pop2016
CoPt_E_rep1,0,0,1,0,1,8.4,6707
CoPt_E_rep2,0,0,1,0,1,8.4,6707
CoPt_E_rep3,0,0,1,0,1,8.4,6707
CoPt_E_rep4,0,0,1,0,1,8.4,6707
Falu_E_rep1,0,1,0,1,0,6.5,910
Falu_E_rep3,0,1,0,1,0,6.5,910
Falu_E_rep4,0,1,0,1,0,6.5,910
Falu_E_rep6,0,1,0,1,0,6.5,910
Ftele_E_rep3,1,0,0,1,0,0.3,0
Ftele_E_rep5,1,0,0,1,0,0.3,0
Ftele_E_rep6,1,0,0,1,0,0.3,0
Can_E_rep2,0,0,1,0,1,4.6,9276
Can_E_rep3,0,0,1,0,1,4.6,9276
Can_E_rep4,0,0,1,0,1,4.6,9276
Can_E_rep6,0,0,1,0,1,4.6,9276
Vat_E_rep1,1,0,0,1,0,2.5,640
Vat_E_rep3,1,0,0,1,0,2.5,640
Vat_E_rep4,1,0,0,1,0,2.5,640
Vat_E_rep6,1,0,0,1,0,2.5,640